route,page_type,collection,slug,title,status,notes
"/blog/tag/german-shepherd/","blogTags","Blog Tags","german-shepherd","German Shepherd","generated",""
"/blog/tag/golden-retriever/","blogTags","Blog Tags","golden-retriever","Golden Retriever","generated",""
"/blog/tag/halifax/","blogTags","Blog Tags","halifax","Halifax","generated",""
"/blog/tag/hiking-gear/","blogTags","Blog Tags","hiking-gear","Exploring the Best Hiking Gear for Dogs in Canada","generated",""
"/blog/tag/labrador-retriever/","blogTags","Blog Tags","labrador-retriever","Labrador Retriever","generated",""
"/blog/tag/leashes/","blogTags","Blog Tags","leashes","Exploring the Top Dog Leashes in Canada for Hiking, Walking & Training","generated",""
"/blog/tag/montreal/","blogTags","Blog Tags","montreal","Montreal","generated",""
"/blog/tag/park-etiquette/","blogTags","Blog Tags","park-etiquette","Park Etiquette","generated",""
"/blog/tag/poodle/","blogTags","Blog Tags","poodle","Poodle","generated",""
"/blog/tag/puppy-training/","blogTags","Blog Tags","puppy-training","Puppy Training","generated",""
"/blog/tag/seasonal/","blogTags","Blog Tags","seasonal","Seasonal","generated",""
"/blog/tag/senior-dogs/","blogTags","Blog Tags","senior-dogs","Senior Dogs","generated",""
"/blog/tag/socialization/","blogTags","Blog Tags","socialization","Socialization","generated",""
"/blog/tag/summer-fun/","blogTags","Blog Tags","summer-fun","Summer Fun","generated",""
"/blog/tag/toronto/","blogTags","Blog Tags","toronto","Toronto","generated",""
"/blog/tag/training-tips/","blogTags","Blog Tags","training-tips","Training Tips","generated",""
"/blog/tag/travel-with-dogs/","blogTags","Blog Tags","travel-with-dogs","Travel with Dogs","generated",""
"/blog/tag/vancouver/","blogTags","Blog Tags","vancouver","Vancouver","generated",""
"/blog/tag/winter-safety/","blogTags","Blog Tags","winter-safety","Winter Safety","generated",""
"/blog/the-7-7-7-rule-for-puppies/","blog_post","Blog Posts","the-7-7-7-rule-for-puppies","The 7-7-7 Rule for Puppies: Building Confidence from the Start","generated",""
"/blog/tips-for-living-with-dogs-if-you-have-allergies/","blog_post","Blog Posts","tips-for-living-with-dogs-if-you-have-allergies","Tips for Living with Dogs if You Have Allergies","generated",""
"/blog/top-10-dog-breeds-for-canadian-families/","blog_post","Blog Posts","top-10-dog-breeds-for-canadian-families","Top 10 Dog Breeds for Canadian Families","generated",""
"/blog/top-10-dog-breeds-for-condo-living-canada/","blog_post","Blog Posts","top-10-dog-breeds-for-condo-living-canada","Top 10 Dog Breeds for Condo & Apartment Living in Canada","generated",""
"/blog/top-10-dog-parks-in-vancouver/","blog_post","Blog Posts","top-10-dog-parks-in-vancouver","Top 10 Dog Parks in Vancouver for Off-Leash Fun (2025 Guide)","generated",""
"/blog/top-10-off-leash-dog-parks-in-toronto/","blog_post","Blog Posts","top-10-off-leash-dog-parks-in-toronto","Top 10 Off-Leash Dog Parks in Toronto","generated",""
"/blog/trending-dog-names-2025/","blog_post","Blog Posts","trending-dog-names-2025","Trending Dog Names for 2025: What’s Hot Now (and Why)","generated",""
"/blog/unlimited-vs-10000-annual-limit/","blog_post","Blog Posts","unlimited-vs-10000-annual-limit","Unlimited vs $10,000 Annual Limit - Which Should You Choose? (Canada)","generated",""
"/blog/winter-dog-care-tips-canada/","blog_post","Blog Posts","winter-dog-care-tips-canada","Winter Dog Care Tips: Keeping Your Pup Safe in the Canadian Cold","generated",""
"/blog/winter-paw-care-for-canadian-dogs/","blog_post","Blog Posts","winter-paw-care-for-canadian-dogs","Winter Paw Care for Canadian Dogs: Salt, Ice, and Boot Tips","generated",""
"/directory/","directory_index","Static","directory","directory_index","generated",""
"/directory/alberta-animal-rescue-crew-society-aarcs/","directory_detail","Directories","alberta-animal-rescue-crew-society-aarcs","Alberta Animal Rescue Crew Society (AARCS)","generated",""
"/directory/aldershot-animal-hospital-burlington/","directory_detail","Directories","aldershot-animal-hospital-burlington","Aldershot Animal Hospital","generated",""
"/directory/alderwood-veterinary-clinic/","directory_detail","Directories","alderwood-veterinary-clinic","Alderwood Veterinary Clinic","generated",""
"/directory/animal-hospital-of-milton-e6f9b/","directory_detail","Directories","animal-hospital-of-milton-e6f9b","Animal Hospital of Milton","generated",""
"/directory/animal-hospital-of-milton/","directory_detail","Directories","animal-hospital-of-milton","Animal Hospital of Milton","generated",""
"/directory/animal-hospital-of-oakville/","directory_detail","Directories","animal-hospital-of-oakville","Animal Hospital of Oakville","generated",""
"/directory/animal-shelters-and-rescues/","categories","Categories","animal-shelters-and-rescues","Animal Shelters & Dog Rescues Across Canada","generated",""
"/directory/applewood-veterinary-hospital-mississauga/","directory_detail","Directories","applewood-veterinary-hospital-mississauga","Applewood Veterinary Hospital","generated",""
"/directory/aquitaine-animal-hospital-mississauga/","directory_detail","Directories","aquitaine-animal-hospital-mississauga","Aquitaine Animal Hospital","generated",""
"/directory/bc-spca-vancouver-branch/","directory_detail","Directories","bc-spca-vancouver-branch","BC SPCA – Vancouver Branch","generated",""
"/directory/bristol-veterinary-hospital-mississauga/","directory_detail","Directories","bristol-veterinary-hospital-mississauga","Bristol Veterinary Hospital","generated",""
"/directory/burlington-veterinary-emergency-and-referral-hospital/","directory_detail","Directories","burlington-veterinary-emergency-and-referral-hospital","Burlington Veterinary Emergency & Referral Hospital","generated",""
"/directory/burloak-animal-hospital/","directory_detail","Directories","burloak-animal-hospital","Burloak Animal Hospital","generated",""
"/directory/credit-valley-animal-hospital-mississauga/","directory_detail","Directories","credit-valley-animal-hospital-mississauga","Credit Valley Animal Hospital","generated",""
"/directory/derry-heights-animal-hospital-milton/","directory_detail","Directories","derry-heights-animal-hospital-milton","Derry Heights Animal Hospital","generated",""
"/directory/dog-daycares-and-boarding/","categories","Categories","dog-daycares-and-boarding","Dog Daycares & Boarding Services Across Canada","generated",""
"/directory/dog-groomers/","categories","Categories","dog-groomers","Find Dog Groomers Across Canada","generated",""
"/directory/dog-tales-rescue-and-sanctuary/","directory_detail","Directories","dog-tales-rescue-and-sanctuary","Dog Tales Rescue and Sanctuary","generated",""
"/directory/dog-trainers/","categories","Categories","dog-trainers","Dog Trainers & Obedience Classes Across Canada","generated",""
"/directory/dog-walkers-and-pet-sitters/","categories","Categories","dog-walkers-and-pet-sitters","Dog Walkers & Pet Sitters Across Canada","generated",""
"/directory/east-plains-animal-hospital-burlington/","directory_detail","Directories","east-plains-animal-hospital-burlington","East Plains Animal Hospital","generated",""
"/directory/eatonville-animal-hospital/","directory_detail","Directories","eatonville-animal-hospital","Eatonville Animal Hospital","generated",""
"/directory/eglinton-hwy-10-veterinary-clinic-mississauga/","directory_detail","Directories","eglinton-hwy-10-veterinary-clinic-mississauga","Eglinton-Hwy 10 Veterinary Clinic","generated",""
"/directory/erin-mills-pet-hospital-mississauga/","directory_detail","Directories","erin-mills-pet-hospital-mississauga","Erin Mills Pet Hospital","generated",""
"/directory/erindale-animal-hospital-mississauga/","directory_detail","Directories","erindale-animal-hospital-mississauga","Erindale Animal Hospital","generated",""
"/directory/etobicoke-veterinary-hospital/","directory_detail","Directories","etobicoke-veterinary-hospital","Etobicoke Veterinary Hospital","generated",""
"/directory/glen-erin-animal-hospital-mississauga/","directory_detail","Directories","glen-erin-animal-hospital-mississauga","Glen Erin Animal Hospital","generated",""
"/directory/halton-peel-animal-hospital-milton/","directory_detail","Directories","halton-peel-animal-hospital-milton","Halton Peel Animal Hospital","generated",""
"/directory/hamilton-burlington-spca/","directory_detail","Directories","hamilton-burlington-spca","Hamilton/Burlington SPCA","generated",""
"/directory/hawkins-animal-hospital-milton/","directory_detail","Directories","hawkins-animal-hospital-milton","Hawkins Animal Hospital","generated",""
"/directory/hawkins-animal-hospital/","directory_detail","Directories","hawkins-animal-hospital","Hawkins Animal Hospital","generated",""
"/directory/heartland-pet-hospital-mississauga/","directory_detail","Directories","heartland-pet-hospital-mississauga","Heartland Pet Hospital","generated",""
"/directory/hollybank-animal-hospital-milton/","directory_detail","Directories","hollybank-animal-hospital-milton","Hollybank Animal Hospital","generated",""
"/directory/humber-bay-veterinary-hospital/","directory_detail","Directories","humber-bay-veterinary-hospital","Humber Bay Veterinary Hospital","generated",""
"/directory/it-takes-a-village-dog-rescue/","directory_detail","Directories","it-takes-a-village-dog-rescue","It Takes a Village Dog Rescue","generated",""
"/directory/james-snow-animal-hospital-milton/","directory_detail","Directories","james-snow-animal-hospital-milton","James Snow Animal Hospital","generated",""
"/directory/james-snow-animal-hospital/","directory_detail","Directories","james-snow-animal-hospital","James Snow Animal Hospital","generated",""
"/directory/long-branch-animal-clinic/","directory_detail","Directories","long-branch-animal-clinic","Long Branch Animal Clinic","generated",""
"/directory/lorne-park-animal-hospital-mississauga/","directory_detail","Directories","lorne-park-animal-hospital-mississauga","Lorne Park Animal Hospital","generated",""
"/directory/loved-at-last-dog-rescue/","directory_detail","Directories","loved-at-last-dog-rescue","Loved at Last Dog Rescue","generated",""
"/directory/mainview-animal-hospital-milton/","directory_detail","Directories","mainview-animal-hospital-milton","Mainview Animal Hospital","generated",""
"/directory/martin-veterinary-hospital/","directory_detail","Directories","martin-veterinary-hospital","Martin Veterinary Hospital","generated",""
"/directory/mavis-road-animal-clinic-mississauga/","directory_detail","Directories","mavis-road-animal-clinic-mississauga","Mavis Road Animal Clinic","generated",""
"/directory/mccleary-animal-hospital-mississauga/","directory_detail","Directories","mccleary-animal-hospital-mississauga","McCleary Animal Hospital","generated",""
"/directory/meadowvale-animal-clinic-mississauga/","directory_detail","Directories","meadowvale-animal-clinic-mississauga","Meadowvale Animal Clinic","generated",""
"/directory/mississauga-animal-hospital/","directory_detail","Directories","mississauga-animal-hospital","Mississauga Animal Hospital","generated",""
"/directory/montreal-spca/","directory_detail","Directories","montreal-spca","Montreal SPCA","generated",""
"/directory/niagara-dog-rescue/","directory_detail","Directories","niagara-dog-rescue","Niagara Dog Rescue","generated",""
"/directory/niagara-spca-and-humane-society/","directory_detail","Directories","niagara-spca-and-humane-society","Niagara SPCA and Humane Society","generated",""
"/directory/oakville-animal-clinic/","directory_detail","Directories","oakville-animal-clinic","Oakville Animal Clinic","generated",""
"/directory/oakville-lakeshore-animal-hospital/","directory_detail","Directories","oakville-lakeshore-animal-hospital","Oakville Lakeshore Animal Hospital","generated",""
"/directory/ontario-spca-and-humane-society/","directory_detail","Directories","ontario-spca-and-humane-society","Ontario SPCA and Humane Society","generated",""
"/directory/pet-stores-and-boutiques/","categories","Categories","pet-stores-and-boutiques","Pet Stores & Dog Boutiques Across Canada","generated",""
"/directory/redemption-paws/","directory_detail","Directories","redemption-paws","Redemption Paws","generated",""
"/directory/richview-animal-hospital/","directory_detail","Directories","richview-animal-hospital","Richview Animal Hospital","generated",""
"/directory/river-grove-animal-hospital-mississauga/","directory_detail","Directories","river-grove-animal-hospital-mississauga","River Grove Animal Hospital","generated",""
"/directory/robinson-pet-hospital-milton/","directory_detail","Directories","robinson-pet-hospital-milton","Robinson Pet Hospital","generated",""
"/directory/royal-ford-veterinary-hospital/","directory_detail","Directories","royal-ford-veterinary-hospital","Royal Ford Veterinary Hospital","generated",""
"/directory/royal-york-animal-hospital/","directory_detail","Directories","royal-york-animal-hospital","Royal York Animal Hospital","generated",""
"/directory/second-chance-animal-rescue-society-scars/","directory_detail","Directories","second-chance-animal-rescue-society-scars","Second Chance Animal Rescue Society (SCARS)","generated",""
"/directory/senior-animals-in-need-today-society-saints/","directory_detail","Directories","senior-animals-in-need-today-society-saints","Senior Animals In Need Today Society (SAINTS)","generated",""
"/directory/south-etobicoke-animal-hospital/","directory_detail","Directories","south-etobicoke-animal-hospital","South Etobicoke Animal Hospital","generated",""
"/directory/southdown-animal-clinic-mississauga/","directory_detail","Directories","southdown-animal-clinic-mississauga","Southdown Animal Clinic","generated",""
"/directory/southeast-oakville-vet/","directory_detail","Directories","southeast-oakville-vet","Southeast Oakville Vet","generated",""
"/directory/streetsville-animal-hospital-mississauga/","directory_detail","Directories","streetsville-animal-hospital-mississauga","Streetsville Animal Hospital","generated",""
"/directory/tansley-woods-veterinary-hospital/","directory_detail","Directories","tansley-woods-veterinary-hospital","Tansley Woods Veterinary Hospital","generated",""
"/directory/toronto-humane-society/","directory_detail","Directories","toronto-humane-society","Toronto Humane Society","generated",""
"/directory/toronto-veterinary-clinic-etobicoke/","directory_detail","Directories","toronto-veterinary-clinic-etobicoke","Toronto Veterinary Clinic","generated",""
"/directory/upper-middle-road-animal-hospital-burlington/","directory_detail","Directories","upper-middle-road-animal-hospital-burlington","Upper Middle Road Animal Hospital","generated",""
"/directory/upper-oakville-pet-hospital/","directory_detail","Directories","upper-oakville-pet-hospital","Upper Oakville Pet Hospital","generated",""
"/directory/vca-canada-burlington-animal-hospital/","directory_detail","Directories","vca-canada-burlington-animal-hospital","VCA Canada Burlington Animal Hospital","generated",""
"/directory/veterinarians/","categories","Categories","veterinarians","Veterinarians & Animal Hospitals Across Canada","generated",""
"/directory/westbridge-veterinary-hospital-mississauga/","directory_detail","Directories","westbridge-veterinary-hospital-mississauga","Westbridge Veterinary Hospital","generated",""
"/dog-breeds/","dog_breeds_index","Static","dog-breeds","dog_breeds_index","generated",""
"/dog-breeds/affenpinscher/","dog_breed_detail","Dog Breeds","affenpinscher","Is the Affenpinscher Right for You? Traits, Training & Care Tips","generated",""
"/dog-breeds/afghan-hound/","dog_breed_detail","Dog Breeds","afghan-hound","Afghan Hound Temperament & Training: Family Fit, Exercise & Shedding","generated",""
"/dog-breeds/airedale-terrier/","dog_breed_detail","Dog Breeds","airedale-terrier","Airedale Terrier Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/akita/","dog_breed_detail","Dog Breeds","akita","Everything to Know About the Akita: Temperament, Shedding & Exercise in Canada","generated",""
"/dog-breeds/alaskan-klee-kai/","dog_breed_detail","Dog Breeds","alaskan-klee-kai","Alaskan Klee Kai Temperament & Training: Family Fit, Exercise & Shedding","generated",""
"/dog-breeds/alaskan-malamute/","dog_breed_detail","Dog Breeds","alaskan-malamute","Alaskan Malamute Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/american-bulldog/","dog_breed_detail","Dog Breeds","american-bulldog","Choosing a American Bulldog: Energy Level, Trainability & Family Fit in Canada","generated",""
"/dog-breeds/american-cocker-spaniel/","dog_breed_detail","Dog Breeds","american-cocker-spaniel","New to the American Cocker Spaniel? Temperament, Training & Daily Care for Canadians","generated",""
"/dog-breeds/american-english-coonhound/","dog_breed_detail","Dog Breeds","american-english-coonhound","American English Coonhound Temperament & Training: Family Fit, Exercise & Shedding","generated",""
"/dog-breeds/american-eskimo-dog/","dog_breed_detail","Dog Breeds","american-eskimo-dog","New to the American Eskimo Dog? Temperament, Training & Daily Care for Canadians","generated",""
"/dog-breeds/american-foxhound/","dog_breed_detail","Dog Breeds","american-foxhound","Choosing a American Foxhound: Energy Level, Trainability & Family Fit in Canada","generated",""
"/dog-breeds/american-hairless-terrier/","dog_breed_detail","Dog Breeds","american-hairless-terrier","American Hairless Terrier Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/american-leopard-hound/","dog_breed_detail","Dog Breeds","american-leopard-hound","American Leopard Hound Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/american-staffordshire-terrier/","dog_breed_detail","Dog Breeds","american-staffordshire-terrier","The American Staffordshire Terrier at a Glance: Personality, Exercise Needs & Shedding","generated",""
"/dog-breeds/american-water-spaniel/","dog_breed_detail","Dog Breeds","american-water-spaniel","Everything to Know About the American Water Spaniel: Temperament, Shedding & Exercise in Canada","generated",""
"/dog-breeds/anatolian-shepherd-dog/","dog_breed_detail","Dog Breeds","anatolian-shepherd-dog","Anatolian Shepherd Dog Temperament & Training: Family Fit, Exercise & Shedding","generated",""
"/dog-breeds/appenzeller-sennenhund/","dog_breed_detail","Dog Breeds","appenzeller-sennenhund","Appenzeller Sennenhund 101: Traits, Shedding and Exercise Needs for Busy Families","generated",""
"/dog-breeds/aussiedoodle/","dog_breed_detail","Dog Breeds","aussiedoodle","The Aussiedoodle at a Glance: Personality, Exercise Needs & Shedding","generated",""
"/dog-breeds/aussiedor/","dog_breed_detail","Dog Breeds","aussiedor","Is the Aussiedor Right for You? Traits, Training & Care Tips","generated",""
"/dog-breeds/australian-cattle-dog/","dog_breed_detail","Dog Breeds","australian-cattle-dog","Australian Cattle Dog Guide for Canadian Owners: Energy, Grooming & Health Essentials","generated",""
"/dog-breeds/australian-kelpie/","dog_breed_detail","Dog Breeds","australian-kelpie","Australian Kelpie Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/australian-shepherd/","dog_breed_detail","Dog Breeds","australian-shepherd","Everything to Know About the Australian Shepherd: Temperament, Shedding & Exercise in Canada","generated",""
"/dog-breeds/australian-stumpy-tail-cattle-dog/","dog_breed_detail","Dog Breeds","australian-stumpy-tail-cattle-dog","New to the Australian Stumpy Tail Cattle Dog? Temperament, Training & Daily Care for Canadians","generated",""
"/dog-breeds/australian-terrier/","dog_breed_detail","Dog Breeds","australian-terrier","Choosing a Australian Terrier: Energy Level, Trainability & Family Fit in Canada","generated",""
"/dog-breeds/azawakh/","dog_breed_detail","Dog Breeds","azawakh","New to the Azawakh? Temperament, Training & Daily Care for Canadians","generated",""
"/dog-breeds/barbado-da-terceira/","dog_breed_detail","Dog Breeds","barbado-da-terceira","Barbado da Terceira Guide for Canadian Owners: Energy, Grooming & Health Essentials","generated",""
"/dog-breeds/barbet/","dog_breed_detail","Dog Breeds","barbet","Barbet Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/basenji/","dog_breed_detail","Dog Breeds","basenji","New to the Basenji? Temperament, Training & Daily Care for Canadians","generated",""
"/dog-breeds/basset-fauve-de-bretagne/","dog_breed_detail","Dog Breeds","basset-fauve-de-bretagne","Basset Fauve de Bretagne Guide for Canadian Owners: Energy, Grooming & Health Essentials","generated",""
"/dog-breeds/basset-hound/","dog_breed_detail","Dog Breeds","basset-hound","Is the Basset Hound Right for You? Traits, Training & Care Tips","generated",""
"/dog-breeds/beagle/","dog_breed_detail","Dog Breeds","beagle","New to the Beagle? Temperament, Training & Daily Care for Canadians","generated",""
"/dog-breeds/bearded-collie/","dog_breed_detail","Dog Breeds","bearded-collie","Choosing a Bearded Collie: Energy Level, Trainability & Family Fit in Canada","generated",""
"/dog-breeds/beauceron/","dog_breed_detail","Dog Breeds","beauceron","Beauceron Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/bedlington-terrier/","dog_breed_detail","Dog Breeds","bedlington-terrier","Bedlington Terrier Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/belgian-laekenois/","dog_breed_detail","Dog Breeds","belgian-laekenois","Is the Belgian Laekenois Right for You? Traits, Training & Care Tips","generated",""
"/dog-breeds/belgian-malinois/","dog_breed_detail","Dog Breeds","belgian-malinois","Belgian Malinois 101: Traits, Shedding and Exercise Needs for Busy Families","generated",""
"/dog-breeds/belgian-sheepdog/","dog_breed_detail","Dog Breeds","belgian-sheepdog","Belgian Sheepdog Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/belgian-tervuren/","dog_breed_detail","Dog Breeds","belgian-tervuren","Caring for a Belgian Tervuren in Canada: Lifestyle, Grooming & Health Basics","generated",""
"/dog-breeds/bergamasco-sheepdog/","dog_breed_detail","Dog Breeds","bergamasco-sheepdog","Bergamasco Sheepdog Guide for Canadian Owners: Energy, Grooming & Health Essentials","generated",""
"/dog-breeds/berger-picard/","dog_breed_detail","Dog Breeds","berger-picard","Berger Picard 101: Traits, Shedding and Exercise Needs for Busy Families","generated",""
"/dog-breeds/bernedoodle/","dog_breed_detail","Dog Breeds","bernedoodle","Caring for a Bernedoodle in Canada: Lifestyle, Grooming & Health Basics","generated",""
"/dog-breeds/bernese-mountain-dog/","dog_breed_detail","Dog Breeds","bernese-mountain-dog","Choosing a Bernese Mountain Dog: Energy Level, Trainability & Family Fit in Canada","generated",""
"/dog-breeds/bichon-frise/","dog_breed_detail","Dog Breeds","bichon-frise","Is the Bichon Frise Right for You? Traits, Training & Care Tips","generated",""
"/dog-breeds/biewer-terrier/","dog_breed_detail","Dog Breeds","biewer-terrier","Biewer Terrier Care Guide: Temperament, Grooming & Health Considerations","generated",""
"/dog-breeds/black-and-tan-coonhound/","dog_breed_detail","Dog Breeds","black-and-tan-coonhound","Black and Tan Coonhound Temperament & Training: Family Fit, Exercise & Shedding","generated",""
"/dog-breeds/black-russian-terrier/","dog_breed_detail","Dog Breeds","black-russian-terrier","Choosing a Black Russian Terrier: Energy Level, Trainability & Family Fit in Canada","generated",""
"/dog-breeds/bloodhound/","dog_breed_detail","Dog Breeds","bloodhound","Bloodhound 101: Traits, Shedding and Exercise Needs for Busy Families","generated",""
"/dog-breeds/bluetick-coonhound/","dog_breed_detail","Dog Breeds","bluetick-coonhound","Bluetick Coonhound Temperament & Training: Family Fit, Exercise & Shedding","generated",""
