"priority","collection","item_name","item_slug","field_name","original_webflow_url","current_local_filename","suggested_filename","suggested_public_path","status","notes"
"High","Blog Posts","Low-Shedding Dog Breeds for Allergy Sufferers (Canada Edition)","low-shedding-dog-breeds-for-allergy-sufferers","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68eaf965bde85d6ffd95c7a9_ChatGPT%20Image%20Oct%2011%2C%202025%2C%2008_42_00%20PM.png","","blog-low-shedding-dog-breeds-for-allergy-sufferers-hero.png","/images/blog/blog-low-shedding-dog-breeds-for-allergy-sufferers-hero.png","not_started","No local file matched yet."
"High","Blog Posts","Smartest Dog Breeds in Canada","smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68eb043d63c97bfa25762fd3_smartest-dog-breeds-canada-hero.jpg","","blog-smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear-hero.jpg","/images/blog/blog-smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","The 7-7-7 Rule for Puppies","the-7-7-7-rule-for-puppies","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ec224b7d3e7aab634cff65_7-7-7-rule-for-puppies-hero-leashfree-2880x1488.jpg","","blog-the-7-7-7-rule-for-puppies-hero.jpg","/images/blog/blog-the-7-7-7-rule-for-puppies-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Tips for Living with Dogs if You Have Allergies","tips-for-living-with-dogs-if-you-have-allergies","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68deb0126c29c188f37aa44d_dog-allergy-tips-hero-leashfree-2880x1488.jpg","","blog-tips-for-living-with-dogs-if-you-have-allergies-hero.jpg","/images/blog/blog-tips-for-living-with-dogs-if-you-have-allergies-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Top 10 Dog Breeds for Canadian Families","top-10-dog-breeds-for-canadian-families","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d812dd90785be30c760e6d_top-10-dog-breeds-canadian-families-hero-leashfree-2880x1488.jpg","","blog-top-10-dog-breeds-for-canadian-families-hero.jpg","/images/blog/blog-top-10-dog-breeds-for-canadian-families-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Top 10 Dog Breeds for Condo Living","top-10-dog-breeds-for-condo-living-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68d81775cc987492d4be137e_condo-apartment-dog-breeds-hero-leashfree-2880x1488.jpg","","blog-top-10-dog-breeds-for-condo-living-canada-hero.jpg","/images/blog/blog-top-10-dog-breeds-for-condo-living-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Top 10 Off-Leash Dog Parks in Toronto","top-10-off-leash-dog-parks-in-toronto","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68bf3a9bdff6975b45e71ae3_top-10-off-leash-dog-parks-toronto-hero-leashfree-2880x1488.avif","","blog-top-10-off-leash-dog-parks-in-toronto-hero.avif","/images/blog/blog-top-10-off-leash-dog-parks-in-toronto-hero.avif","not_started","No local file matched yet."
"High","Blog Posts","Top 15 Halloween Dog Costume Ideas for 2025","halloween-dog-costume-ideas-2025","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e18f68695bceafcaca26b5_halloween-dog-costume-ideas-hero-leashfree-2880x1488.jpg","","blog-halloween-dog-costume-ideas-2025-hero.jpg","/images/blog/blog-halloween-dog-costume-ideas-2025-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Trending Dog Names for 2025","trending-dog-names-2025","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e30d3fbc2f8e7f7df74ffd_leashfree-trending-dog-names-2025-hero-2880x1488.jpg","","blog-trending-dog-names-2025-hero.jpg","/images/blog/blog-trending-dog-names-2025-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Unlimited vs $10,000 Annual Limit - Which Should You Choose? (Canada)","unlimited-vs-10000-annual-limit","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ee89e3069a3e3c474e17fa_unlimited-vs-10000-annual-limit-hero.jpg","","blog-unlimited-vs-10000-annual-limit-hero.jpg","/images/blog/blog-unlimited-vs-10000-annual-limit-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","What Is the Best Name for a Male Labrador?","best-male-labrador-names","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68ec1118b57220ccd37ef587_labrador-retriever-dog-breed-standing-outdoors.jpg","","blog-best-male-labrador-names-hero.jpg","/images/blog/blog-best-male-labrador-names-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Winter Dog Care Tips","winter-dog-care-tips-canada","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e146a83545f0f0d6e7a0bf_winter-dog-care-hero-leashfree-2880x1488.jpg","","blog-winter-dog-care-tips-canada-hero.jpg","/images/blog/blog-winter-dog-care-tips-canada-hero.jpg","not_started","No local file matched yet."
"High","Blog Posts","Winter Paw Care for Canadian Dogs: Salt, Ice, and Boot Tips","winter-paw-care-for-canadian-dogs","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f3e6fec8cb89dc14207c5b_weimaraner-winter-paw-care-hero-leashfree-2880x1488.jpg","","blog-winter-paw-care-for-canadian-dogs-hero.jpg","/images/blog/blog-winter-paw-care-for-canadian-dogs-hero.jpg","not_started","No local file matched yet."
"High","City Pages","Ajax","ajax","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-ajax-hero.png","/images/cities/city-ajax-hero.png","not_started","No local file matched yet."
"High","City Pages","Barrie","barrie","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-barrie-hero.png","/images/cities/city-barrie-hero.png","not_started","No local file matched yet."
"High","City Pages","Battleford","battleford","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-battleford-hero.png","/images/cities/city-battleford-hero.png","not_started","No local file matched yet."
"High","City Pages","Belleville","belleville","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-belleville-hero.png","/images/cities/city-belleville-hero.png","not_started","No local file matched yet."
"High","City Pages","Brampton","brampton","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-brampton-hero.png","/images/cities/city-brampton-hero.png","not_started","No local file matched yet."
"High","City Pages","Brandon","brandon","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-brandon-hero.png","/images/cities/city-brandon-hero.png","not_started","No local file matched yet."
"High","City Pages","Bridgewater","bridgewater","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","","city-bridgewater-hero.jpg","/images/cities/city-bridgewater-hero.jpg","not_started","No local file matched yet."
"High","City Pages","Burlington","burlington","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6882c60d9cece3cec5b302f0_burlington-ontario-dog-parks-directory-graphic.avif","","city-burlington-hero.avif","/images/cities/city-burlington-hero.avif","not_started","No local file matched yet."
"High","City Pages","Burnaby","burnaby","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-burnaby-hero.png","/images/cities/city-burnaby-hero.png","not_started","No local file matched yet."
"High","City Pages","Calgary","calgary","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6871d6f4f9092a9827cf604e_calgary-dog-parks.avif","","city-calgary-hero.avif","/images/cities/city-calgary-hero.avif","not_started","No local file matched yet."
"High","City Pages","Campbellford","campbellford","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-campbellford-hero.png","/images/cities/city-campbellford-hero.png","not_started","No local file matched yet."
"High","City Pages","Charleston Lake","charleston-lake","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-charleston-lake-hero.png","/images/cities/city-charleston-lake-hero.png","not_started","No local file matched yet."
"High","City Pages","Chilliwack","chilliwack","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-chilliwack-hero.png","/images/cities/city-chilliwack-hero.png","not_started","No local file matched yet."
"High","City Pages","Coquitlam","coquitlam","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-coquitlam-hero.png","/images/cities/city-coquitlam-hero.png","not_started","No local file matched yet."
"High","City Pages","Cornwall","cornwall","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-cornwall-hero.png","/images/cities/city-cornwall-hero.png","not_started","No local file matched yet."
"High","City Pages","Courtice","courtice","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-courtice-hero.png","/images/cities/city-courtice-hero.png","not_started","No local file matched yet."
"High","City Pages","Edmonton","edmonton","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-edmonton-hero.png","/images/cities/city-edmonton-hero.png","not_started","No local file matched yet."
"High","City Pages","Estevan","estevan","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-estevan-hero.png","/images/cities/city-estevan-hero.png","not_started","No local file matched yet."
"High","City Pages","Etobicoke","etobicoke","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-etobicoke-hero.png","/images/cities/city-etobicoke-hero.png","not_started","No local file matched yet."
"High","City Pages","Gatineau","gatineau","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-gatineau-hero.png","/images/cities/city-gatineau-hero.png","not_started","No local file matched yet."
"High","City Pages","Gimli","gimli","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-gimli-hero.png","/images/cities/city-gimli-hero.png","not_started","No local file matched yet."
"High","City Pages","Grimsby","grimsby","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-grimsby-hero.png","/images/cities/city-grimsby-hero.png","not_started","No local file matched yet."
"High","City Pages","Guelph","guelph","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-guelph-hero.png","/images/cities/city-guelph-hero.png","not_started","No local file matched yet."
"High","City Pages","Halifax","halifax","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b89801ceaed5277ebc4147_Off-Leash%20Dog%20Parks%20in%20Halifax.jpg","","city-halifax-hero.jpg","/images/cities/city-halifax-hero.jpg","not_started","No local file matched yet."
"High","City Pages","Halton Hills","halton-hills-dog-parks","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-halton-hills-dog-parks-hero.png","/images/cities/city-halton-hills-dog-parks-hero.png","not_started","No local file matched yet."
"High","City Pages","Hamilton","hamilton","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-hamilton-hero.png","/images/cities/city-hamilton-hero.png","not_started","No local file matched yet."
"High","City Pages","Humboldt","humboldt","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-humboldt-hero.png","/images/cities/city-humboldt-hero.png","not_started","No local file matched yet."
"High","City Pages","Kelowna","kelowna","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-kelowna-hero.png","/images/cities/city-kelowna-hero.png","not_started","No local file matched yet."
"High","City Pages","Kentville","kentville","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68b985b43343e3e3a1dc404b_Off-Leash%20Dog%20Park%20in%20Kentville%2C%20NS.jpg","","city-kentville-hero.jpg","/images/cities/city-kentville-hero.jpg","not_started","No local file matched yet."
"High","City Pages","Kitchener","kitchener","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-kitchener-hero.png","/images/cities/city-kitchener-hero.png","not_started","No local file matched yet."
"High","City Pages","Ladysmith","ladysmith","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-ladysmith-hero.png","/images/cities/city-ladysmith-hero.png","not_started","No local file matched yet."
"High","City Pages","Laval","laval","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-laval-hero.png","/images/cities/city-laval-hero.png","not_started","No local file matched yet."
"High","City Pages","Lethbridge","lethbridge","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-lethbridge-hero.png","/images/cities/city-lethbridge-hero.png","not_started","No local file matched yet."
"High","City Pages","Lloydminster","lloydminster","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-lloydminster-hero.png","/images/cities/city-lloydminster-hero.png","not_started","No local file matched yet."
"High","City Pages","London","london","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68e567153d38594bfaf0aed6_london-dog-park-hero.jpg","","city-london-hero.jpg","/images/cities/city-london-hero.jpg","not_started","No local file matched yet."
"High","City Pages","Martensville","martensville","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-martensville-hero.png","/images/cities/city-martensville-hero.png","not_started","No local file matched yet."
"High","City Pages","Medicine Hat","medicine-hat","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-medicine-hat-hero.png","/images/cities/city-medicine-hat-hero.png","not_started","No local file matched yet."
"High","City Pages","Melfort","melfort","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-melfort-hero.png","/images/cities/city-melfort-hero.png","not_started","No local file matched yet."
"High","City Pages","Melville","melville","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-melville-hero.png","/images/cities/city-melville-hero.png","not_started","No local file matched yet."
"High","City Pages","Milton","milton","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-milton-hero.png","/images/cities/city-milton-hero.png","not_started","No local file matched yet."
"High","City Pages","Mississauga","mississauga","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/68f11fe46ed7e781525275fc_mississauga-jack-darling-dogs-grassy-field.jpg","","city-mississauga-hero.jpg","/images/cities/city-mississauga-hero.jpg","not_started","No local file matched yet."
"High","City Pages","Moose Jaw","moose-jaw","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-moose-jaw-hero.png","/images/cities/city-moose-jaw-hero.png","not_started","No local file matched yet."
"High","City Pages","Morden","morden","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-morden-hero.png","/images/cities/city-morden-hero.png","not_started","No local file matched yet."
"High","City Pages","Nelson","nelson","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-nelson-hero.png","/images/cities/city-nelson-hero.png","not_started","No local file matched yet."
"High","City Pages","New Westminster","new-westminster","Hero Image","https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6855f8b7dddec16f09782f9d_off-leash-dog-parks-canada.png","","city-new-westminster-hero.png","/images/cities/city-new-westminster-hero.png","not_started","No local file matched yet."
