word,hint,meaning,difficulty,is_answer,weight,valid_from,length
ADOPT,Give a home,Take a dog into one’s home,Medium,TRUE,1,2025-11-03,5
OWNER,Dog guardian,Person responsible for the dog,Medium,TRUE,1,2025-11-03,5
MOUTH,Oral area,Opening used for eating/vocalizing,Medium,TRUE,1,2025-11-03,5
TUMMY,Belly,Informal term for abdomen,Medium,TRUE,1,2025-11-03,5
BELLY,Abdomen,Underside of a dog,Medium,TRUE,1,2025-11-03,5
NOSES,Nostrils area,External organs of smell,Medium,TRUE,1,2025-11-03,5
SMELL,Odor,Scent detected by dogs,Medium,TRUE,1,2025-11-03,5
ODORS,Scents,Smells detected by the nose,Medium,TRUE,1,2025-11-03,5
ODOUR,Scent (CA),Canadian spelling of odor,Medium,TRUE,1,2025-11-03,5
SHEDS,Drops fur,Lose hair from the coat,Medium,TRUE,1,2025-11-03,5
SPOTS,Coat marks,Round coat markings,Medium,TRUE,1,2025-11-03,5
PATCH,Coat patch,Distinct colored area on the coat,Medium,TRUE,1,2025-11-03,5
BLAZE,Face stripe,White stripe on the face,Medium,TRUE,1,2025-11-03,5
MASKS,Face marking,Dark facial pattern,Medium,TRUE,1,2025-11-03,5
LEAVE,Impulse control,Command to ignore/drop item,Medium,TRUE,1,2025-11-03,5
SPEAK,Bark on cue,Command to bark,Medium,TRUE,1,2025-11-03,5
HEELS,Walk close,Dog walks at handler’s side,Medium,TRUE,1,2025-11-03,5
DRINK,Water intake,Consume water,Medium,TRUE,1,2025-11-03,5
WATER,Hydration,Essential fluid for health,Medium,TRUE,1,2025-11-03,5
FEEDS,Provide food,Give food to the dog,Medium,TRUE,1,2025-11-03,5
BITES,Uses teeth,Closes teeth on something,Medium,TRUE,1,2025-11-03,5
CHEWS,Gnaws on,Bites repeatedly,Medium,TRUE,1,2025-11-03,5
GNAWS,Strong chews,Bites hard and persistently,Medium,TRUE,1,2025-11-03,5
CORGI,Breed,Short-legged herding dog,Medium,TRUE,1,2025-11-03,5
BOXER,Breed,Medium muscular breed,Medium,TRUE,1,2025-11-03,5
AKITA,Breed,Large Japanese working breed,Medium,TRUE,1,2025-11-03,5
SHIBA,Breed,Small Japanese spitz-type breed,Medium,TRUE,1,2025-11-03,5
HUSKY,Breed,Energetic northern sled dog,Medium,TRUE,1,2025-11-03,5
SPITZ,Breed type,Family of pointy-eared breeds,Medium,TRUE,1,2025-11-03,5
DINGO,Wild dog,Wild canid from Australia,Medium,TRUE,1,2025-11-03,5
VOMIT,Upset tummy,Expel stomach contents,Medium,TRUE,1,2025-11-03,5
COUGH,Airway sound,Harsh expulsion of air,Medium,TRUE,1,2025-11-03,5
ITCHY,Needs scratch,Sensation causing desire to scratch,Medium,TRUE,1,2025-11-03,5
PARVO,Viral illness,Parvovirus disease in dogs,Medium,TRUE,1,2025-11-03,5
RINSE,Wash off,Remove soap/dirt with water,Medium,TRUE,1,2025-11-03,5
BRUSH,Coat tool,Tool to remove loose fur,Medium,TRUE,1,2025-11-03,5
BATHE,Wash time,Clean with water/shampoo,Medium,TRUE,1,2025-11-03,5
COLLAR,Neck band,Band placed around a dog’s neck,Hard,TRUE,1,2025-11-03,6
MUZZLE,Snout guard,Device to prevent biting,Hard,TRUE,1,2025-11-03,6
KENNEL,Boarding place,Facility where dogs are housed,Hard,TRUE,1,2025-11-03,6
KIBBLE,Dry food,Pellets of dry dog food,Hard,TRUE,1,2025-11-03,6
RESCUE,Saved dog,Dog adopted or saved from shelter,Hard,TRUE,1,2025-11-03,6
BARKER,Noisy dog,Dog that barks a lot,Hard,TRUE,1,2025-11-03,6
CHEWER,Dog that chews,Dog inclined to chew,Hard,TRUE,1,2025-11-03,6
CHEWED,Gnawed,Past tense of chew,Hard,TRUE,1,2025-11-03,6
SITTER,Pet sitter,Person who cares for pets,Hard,TRUE,1,2025-11-03,6
WALKER,Dog walker,Person who walks dogs,Hard,TRUE,1,2025-11-03,6
RECALL,Come cue,Command for dog to return,Hard,TRUE,1,2025-11-03,6
REWARD,Training pay,Positive reinforcement item,Hard,TRUE,1,2025-11-03,6
TUGTOY,Tug toy,Toy used for tug games,Hard,TRUE,1,2025-11-03,6
TUNNEL,Agility gear,Agility obstacle tunnel,Hard,TRUE,1,2025-11-03,6
WEAVES,Agility poles,Weave pole obstacle,Hard,TRUE,1,2025-11-03,6
JUMPER,Agility jump,Dog that jumps hurdles,Hard,TRUE,1,2025-11-03,6
SNIFFS,Smelling action,Act of smelling repeatedly,Hard,TRUE,1,2025-11-03,6
SNOUTS,Nose parts,Elongated facial parts of dogs,Hard,TRUE,1,2025-11-03,6
WHINES,Soft cries,High-pitched complaints,Hard,TRUE,1,2025-11-03,6
YELPER,Dog that yelps,Dog prone to yelping,Hard,TRUE,1,2025-11-03,6
DROOLS,Saliva drips,Saliva falling from mouth,Hard,TRUE,1,2025-11-03,6
BATHES,Cleans dog,Washes a dog with water,Hard,TRUE,1,2025-11-03,6
RINSES,Rinses off,Washes away soap or dirt,Hard,TRUE,1,2025-11-03,6
SCALER,Tartar tool,Dental tool removing tartar,Hard,TRUE,1,2025-11-03,6
TETHER,Tie line,Line used to tie a dog safely,Hard,TRUE,1,2025-11-03,6
BREEDS,Dog types,Categories with shared traits,Hard,TRUE,1,2025-11-03,6
ADOPTS,Takes home,Takes a dog into one’s home,Hard,TRUE,1,2025-11-03,6
OWNERS,Dog guardians,People responsible for dogs,Hard,TRUE,1,2025-11-03,6
MATURE,Adult dog,Fully grown,Hard,TRUE,1,2025-11-03,6
SENIOR,Older dog,Aged dog,Hard,TRUE,1,2025-11-03,6
SPAYED,Sterilized,Female sterilization,Hard,TRUE,1,2025-11-03,6
NEUTER,Sterilize male,Male sterilization,Hard,TRUE,1,2025-11-03,6
HOUNDS,Breed group,Hunting breed group,Hard,TRUE,1,2025-11-03,6
HERDER,Herding dog,Dog used to herd livestock,Hard,TRUE,1,2025-11-03,6
GUARDS,Protects,Acts as protector/watch dog,Hard,TRUE,1,2025-11-03,6
SCENTS,Odors,Distinct smells,Hard,TRUE,1,2025-11-03,6
TRAILS,Scent paths,Paths left by scent,Hard,TRUE,1,2025-11-03,6
TRACKS,Follow marks,Follows tracks or scent,Hard,TRUE,1,2025-11-03,6
GROOMS,Cleans coat,Performs grooming,Hard,TRUE,1,2025-11-03,6
FEEDER,Food giver,Device/person that feeds,Hard,TRUE,1,2025-11-03,6
DRINKS,Liquids intake,Consumes liquids,Hard,TRUE,1,2025-11-03,6
MOUTHS,Holds in mouth,Manipulates with mouth,Hard,TRUE,1,2025-11-03,6
RABIES,Viral disease,Preventable by vaccine,Hard,TRUE,1,2025-11-03,6
EYELID,Lid of eye,Protective fold of skin over the eye,Hard,TRUE,1,2025-11-03,6
STIFLE,Knee joint,Dog’s knee joint,Hard,TRUE,1,2025-11-03,6
THROAT,Neck part,Front of the neck; airway area,Hard,TRUE,1,2025-11-03,6
MUSCLE,Body tissue,Contractile tissue of the body,Hard,TRUE,1,2025-11-03,6
SPINAL,Back area,Relating to the spine,Hard,TRUE,1,2025-11-03,6
LUMBAR,Back region,Lower back area,Hard,TRUE,1,2025-11-03,6
BEAGLE,Breed,Small hound with keen scent,Hard,TRUE,1,2025-11-03,6
BORZOI,Breed,Tall Russian sighthound,Hard,TRUE,1,2025-11-03,6
COLLIE,Breed,Herding breed with long nose,Hard,TRUE,1,2025-11-03,6
POODLE,Breed,Intelligent curly-coated breed,Hard,TRUE,1,2025-11-03,6
BASSET,Breed,Short-legged scent hound,Hard,TRUE,1,2025-11-03,6
BOXERS,Breed,Muscular medium-sized dogs,Hard,TRUE,1,2025-11-03,6
CORGIS,Breed,Short-legged herding dogs,Hard,TRUE,1,2025-11-03,6
AKITAS,Breed,Large Japanese working dogs,Hard,TRUE,1,2025-11-03,6
HUSKIES,Breed,Northern sled dogs,Hard,TRUE,1,2025-11-03,7
TRAINER,Instructor,Person who teaches dogs commands,Expert,TRUE,1,2025-11-03,7
POINTER,Breed,Hunting breed that indicates game,Expert,TRUE,1,2025-11-03,7
TERRIER,Breed,Energetic small breed group,Expert,TRUE,1,2025-11-03,7
SETTERS,Breed group,Hunting breeds locating game birds,Expert,TRUE,1,2025-11-03,7
SPANIEL,Breed,Gun dog known for long ears,Expert,TRUE,1,2025-11-03,7
WHIPPET,Breed,"Slim, fast sighthound",Expert,TRUE,1,2025-11-03,7
MASTIFF,Breed,"Large, powerful guardian breed",Expert,TRUE,1,2025-11-03,7
BULLDOG,Breed,"Solid, wrinkled companion breed",Expert,TRUE,1,2025-11-03,7
HARRIER,Breed,Medium-sized hound breed,Expert,TRUE,1,2025-11-03,7
SAMOYED,Breed,Friendly white spitz breed,Expert,TRUE,1,2025-11-03,7
MALTESE,Breed,Small companion toy breed,Expert,TRUE,1,2025-11-03,7
BASENJI,Breed,African ‘barkless’ breed,Expert,TRUE,1,2025-11-03,7
POODLES,Breed,Curly-coated intelligent dogs,Expert,TRUE,1,2025-11-03,7
BEAGLES,Breed,Small hounds with keen scent,Expert,TRUE,1,2025-11-03,7
COLLIES,Breed,Herding dogs with long noses,Expert,TRUE,1,2025-11-03,7
SHELTER,Rescue place,Facility for housing/adopting dogs,Expert,TRUE,1,2025-11-03,7
HARNESS,Body gear,Straps fitting around torso for walking,Expert,TRUE,1,2025-11-03,7
RECALLS,Come cues,Commands to return to handler,Expert,TRUE,1,2025-11-03,7
MUZZLES,Snout guards,Devices to prevent biting,Expert,TRUE,1,2025-11-03,7
KENNELS,Boarding,Places where dogs are housed,Expert,TRUE,1,2025-11-03,7
TUNNELS,Agility gear,Tunnels in agility courses,Expert,TRUE,1,2025-11-03,7
WEAVERS,Agility,Dogs navigating weave poles,Expert,TRUE,1,2025-11-03,7
WALKERS,Dog walkers,People who walk dogs,Expert,TRUE,1,2025-11-03,7
SITTERS,Pet sitters,People who care for pets,Expert,TRUE,1,2025-11-03,7
RESCUES,Saved dogs,Dogs adopted from shelters,Expert,TRUE,1,2025-11-03,7
CHEWERS,Heavy chewers,Dogs inclined to chew,Expert,TRUE,1,2025-11-03,7
HOWLERS,Vocal dogs,Dogs that howl,Expert,TRUE,1,2025-11-03,7
YELPERS,Vocal dogs,Dogs that yelp,Expert,TRUE,1,2025-11-03,7
DROOLER,Saliva maker,Dog that drools a lot,Expert,TRUE,1,2025-11-03,7
BRUSHER,Groom tool user,Person who brushes a dog,Expert,TRUE,1,2025-11-03,7
SHAMPOO,Bath liquid,Soap used to wash a dog,Expert,TRUE,1,2025-11-03,7
TETHERS,Tie lines,Lines used to tie dogs safely,Expert,TRUE,1,2025-11-03,7
BREEDER,Dog breeder,Person who breeds dogs,Expert,TRUE,1,2025-11-03,7
HERDERS,Herd dogs,Dogs used for herding,Expert,TRUE,1,2025-11-03,7
GROOMER,Profession,Professional dog groomer,Expert,TRUE,1,2025-11-03,7
TRIMMER,Tool/role,Person/tool that trims fur,Expert,TRUE,1,2025-11-03,7
CLICKER,Training tool,Device that makes a clicking sound,Expert,TRUE,1,2025-11-03,7
MARKERS,Training,Signals to mark correct behavior,Expert,TRUE,1,2025-11-03,7
TARGETS,Training,Objects/points a dog is taught to touch,Expert,TRUE,1,2025-11-03,7
HEELING,Training,Walking close at the handler’s side,Expert,TRUE,1,2025-11-03,7
REWARDS,Training,Items/actions used as reinforcement,Expert,TRUE,1,2025-11-03,7
COLLARS,Gear,Bands worn around necks,Expert,TRUE,1,2025-11-03,7
LEASHES,Gear,Straps used for walking dogs,Expert,TRUE,1,2025-11-03,7
AGILITY,Sport,Dog sport of obstacle courses,Expert,TRUE,1,2025-11-03,7
WALKING,Activity,Act of taking a dog for a walk,Expert,TRUE,1,2025-11-03,7
PLAYFUL,Trait,Full of play and energy,Expert,TRUE,1,2025-11-03,7
FRIENDS,Companions,Human–dog companionship,Expert,TRUE,1,2025-11-03,7
OUTDOOR,Environment,Outside spaces for dogs,Expert,TRUE,1,2025-11-03,7
INDOORS,Environment,Inside the home,Expert,TRUE,1,2025-11-03,7
TRAINED,Status,Dog that has been trained,Expert,TRUE,1,2025-11-03,7
RESCUER,Role,Person who rescues dogs,Expert,TRUE,1,2025-11-03,7
VACCINE,Health,Immunization used for disease prevention,Expert,TRUE,1,2025-11-03,7
BANDAGE,Care,Protective dressing for wounds,Expert,TRUE,1,2025-11-03,7
EYELIDS,Anatomy,Upper/lower lids that protect the eyes,Expert,TRUE,1,2025-11-03,7
NOSTRIL,Anatomy,External opening of the nose,Expert,TRUE,1,2025-11-03,7
INCISOR,Tooth,Front cutting tooth,Expert,TRUE,1,2025-11-03,7
WITHERS,Anatomy,Highest point of back at the shoulders,Expert,TRUE,1,2025-11-03,7
TENDONS,Anatomy,Fibrous tissues attaching muscle to bone,Expert,TRUE,1,2025-11-03,7
MUSCLES,Anatomy,Contractile tissues of the body,Expert,TRUE,1,2025-11-03,7
LITTERS,Puppy groups,Groups of puppies born to a dog,Expert,TRUE,1,2025-11-03,7
FOSTERS,Caregivers,People who foster dogs,Expert,TRUE,1,2025-11-03,7
ADOPTER,New owner,Person adopting a dog,Expert,TRUE,1,2025-11-03,7
ADOPTED,Rehomed,Dog taken into a new home,Expert,TRUE,1,2025-11-03,7
LEASHED,Restrained,On a leash,Expert,TRUE,1,2025-11-03,7
UNLEASH,Release,To remove a leash,Expert,TRUE,1,2025-11-03,7
CHEWTOY,Toy type,Toy designed for chewing,Expert,TRUE,1,2025-11-03,7
BOOTIES,Dog boots,Protective footwear for dogs,Expert,TRUE,1,2025-11-03,7
JACKETS,Dog coats,Outerwear for warmth/weather,Expert,TRUE,1,2025-11-03,7
SWEATER,Dog sweater,Knitted garment for warmth,Expert,TRUE,1,2025-11-03,7
BARKED,Bark forms,Different forms of barking,Hard,TRUE,1,2025-11-03,6
BARKERS,Bark forms,Different forms of barking,Expert,TRUE,1,2025-11-03,7
BARKES,Bark forms,Different forms of barking,Hard,TRUE,1,2025-11-03,6
BARKING,Bark forms,Different forms of barking,Expert,TRUE,1,2025-11-03,7
HOWLED,Howl forms,Different forms of howling,Hard,TRUE,1,2025-11-03,6
HOWLER,Howl forms,Different forms of howling,Hard,TRUE,1,2025-11-03,6
HOWLES,Howl forms,Different forms of howling,Hard,TRUE,1,2025-11-03,6
HOWLING,Howl forms,Different forms of howling,Expert,TRUE,1,2025-11-03,7
YELPED,Yelp forms,Different forms of yelping,Hard,TRUE,1,2025-11-03,6
YELPES,Yelp forms,Different forms of yelping,Hard,TRUE,1,2025-11-03,6
YELPING,Yelp forms,Different forms of yelping,Expert,TRUE,1,2025-11-03,7
CHEWES,Chew forms,Different forms of chewing,Hard,TRUE,1,2025-11-03,6
CHEWING,Chew forms,Different forms of chewing,Expert,TRUE,1,2025-11-03,7
SNIFFED,Sniff forms,Different forms of sniffing,Expert,TRUE,1,2025-11-03,7
SNIFFER,Sniff forms,Different forms of sniffing,Expert,TRUE,1,2025-11-03,7
SNIFFES,Sniff forms,Different forms of sniffing,Expert,TRUE,1,2025-11-03,7
GROWLS,Growl forms,Different forms of growling,Hard,TRUE,1,2025-11-03,6
GROWLED,Growl forms,Different forms of growling,Expert,TRUE,1,2025-11-03,7
GROWLER,Growl forms,Different forms of growling,Expert,TRUE,1,2025-11-03,7
GROWLES,Growl forms,Different forms of growling,Expert,TRUE,1,2025-11-03,7
FETCHS,Fetch forms,Different forms of fetching,Hard,TRUE,1,2025-11-03,6
FETCHED,Fetch forms,Different forms of fetching,Expert,TRUE,1,2025-11-03,7
FETCHER,Fetch forms,Different forms of fetching,Expert,TRUE,1,2025-11-03,7
FETCHES,Fetch forms,Different forms of fetching,Expert,TRUE,1,2025-11-03,7
WALKS,Walk forms,Different forms of walking,Medium,TRUE,1,2025-11-03,5
WALKED,Walk forms,Different forms of walking,Hard,TRUE,1,2025-11-03,6
WALKES,Walk forms,Different forms of walking,Hard,TRUE,1,2025-11-03,6
CHASES,Chase forms,Different forms of chasing,Hard,TRUE,1,2025-11-03,6
CHASEED,Chase forms,Different forms of chasing,Expert,TRUE,1,2025-11-03,7
CHASEER,Chase forms,Different forms of chasing,Expert,TRUE,1,2025-11-03,7
CHASEES,Chase forms,Different forms of chasing,Expert,TRUE,1,2025-11-03,7
HERDS,Herd forms,Different forms of herding,Medium,TRUE,1,2025-11-03,5
HERDED,Herd forms,Different forms of herding,Hard,TRUE,1,2025-11-03,6
HERDES,Herd forms,Different forms of herding,Hard,TRUE,1,2025-11-03,6
HERDING,Herd forms,Different forms of herding,Expert,TRUE,1,2025-11-03,7
GUARDED,Guard forms,Different forms of guarding,Expert,TRUE,1,2025-11-03,7
GUARDER,Guard forms,Different forms of guarding,Expert,TRUE,1,2025-11-03,7
GUARDES,Guard forms,Different forms of guarding,Expert,TRUE,1,2025-11-03,7
LICKED,Lick forms,Different forms of licking,Hard,TRUE,1,2025-11-03,6
LICKER,Lick forms,Different forms of licking,Hard,TRUE,1,2025-11-03,6
LICKERS,Lick forms,Different forms of licking,Expert,TRUE,1,2025-11-03,7
LICKES,Lick forms,Different forms of licking,Hard,TRUE,1,2025-11-03,6
LICKING,Lick forms,Different forms of licking,Expert,TRUE,1,2025-11-03,7
BITEED,Bite forms,Different forms of biting,Hard,TRUE,1,2025-11-03,6
BITEER,Bite forms,Different forms of biting,Hard,TRUE,1,2025-11-03,6
BITEERS,Bite forms,Different forms of biting,Expert,TRUE,1,2025-11-03,7
BITEES,Bite forms,Different forms of biting,Hard,TRUE,1,2025-11-03,6
BITEING,Bite forms,Different forms of biting,Expert,TRUE,1,2025-11-03,7
BASSETS,Breed (plural),Plural of a recognized dog breed,Expert,TRUE,1,2025-11-03,7
SETTER,Breed,Recognized dog breed,Hard,TRUE,1,2025-11-03,6
NASAL,Anatomy,Relating to the nose,Medium,TRUE,1,2025-11-03,5
NASALS,Anatomy,Plural of nasal,Hard,TRUE,1,2025-11-03,6
ORBIT,Anatomy,Eye socket region,Medium,TRUE,1,2025-11-03,5
THORAX,Anatomy,Chest region,Hard,TRUE,1,2025-11-03,6
LIVER,Anatomy,Organ that processes nutrients,Medium,TRUE,1,2025-11-03,5
LIVERS,Anatomy,Plural of liver,Hard,TRUE,1,2025-11-03,6
KIDNEY,Anatomy,Organ that filters blood,Hard,TRUE,1,2025-11-03,6
KIDNEYS,Anatomy,Plural of kidney,Expert,TRUE,1,2025-11-03,7
SPLEEN,Anatomy,Organ involved in immunity,Hard,TRUE,1,2025-11-03,6
STOMACH,Anatomy,Digestive organ,Expert,TRUE,1,2025-11-03,7
LARYNX,Anatomy,Voice box in the throat,Hard,TRUE,1,2025-11-03,6
TRACHEA,Anatomy,Windpipe conducting air,Expert,TRUE,1,2025-11-03,7
BRONCHI,Anatomy,Air passages to lungs,Expert,TRUE,1,2025-11-03,7
PELVIS,Anatomy,Bony structure at the base of spine,Hard,TRUE,1,2025-11-03,6
FEMURS,Anatomy,Thigh bones,Hard,TRUE,1,2025-11-03,6
HUMERUS,Anatomy,Upper forelimb bone,Expert,TRUE,1,2025-11-03,7
DENTAL,Health,Relating to teeth,Hard,TRUE,1,2025-11-03,6
TARTAR,Health,Hardened dental plaque,Hard,TRUE,1,2025-11-03,6
PLAQUE,Health,Film on teeth causing decay,Hard,TRUE,1,2025-11-03,6
ALLERGY,Health,Immune reaction to substances,Expert,TRUE,1,2025-11-03,7
ASTHMA,Health,Inflammatory airway disease,Hard,TRUE,1,2025-11-03,6
COUGHED,Health,Expelled air forcefully,Expert,TRUE,1,2025-11-03,7
SNEEZE,Health,Sudden involuntary expulsion of air,Hard,TRUE,1,2025-11-03,6
SNEEZED,Health,Past tense of sneeze,Expert,TRUE,1,2025-11-03,7
SNEEZES,Health,Third person/plural of sneeze,Expert,TRUE,1,2025-11-03,7
ITCHES,Health,Itching sensations,Hard,TRUE,1,2025-11-03,6
ITCHING,Health,Sensation that causes scratching,Expert,TRUE,1,2025-11-03,7
NAUSEA,Health,Sensation of needing to vomit,Hard,TRUE,1,2025-11-03,6
CANCER,Health,Uncontrolled cell growth disease,Hard,TRUE,1,2025-11-03,6
TUMORS,Health,Abnormal tissue masses,Hard,TRUE,1,2025-11-03,6
ANEMIA,Health,Low red blood cell count,Hard,TRUE,1,2025-11-03,6
ANEMIAS,Health,Plural of anemia,Expert,TRUE,1,2025-11-03,7
LOYAL,Temperament,Showing firm allegiance,Medium,TRUE,1,2025-11-03,5
CALM,Temperament,Free from agitation,Easy,TRUE,1,2025-11-03,4
CALMER,Temperament,More calm than before,Hard,TRUE,1,2025-11-03,6
CALMEST,Temperament,Most calm state,Expert,TRUE,1,2025-11-03,7
BRAVER,Temperament,More brave,Hard,TRUE,1,2025-11-03,6
GENTLE,Temperament,Mild and kind,Hard,TRUE,1,2025-11-03,6
SOCIAL,Temperament,Enjoys company of others,Hard,TRUE,1,2025-11-03,6
ACTIVE,Temperament,Engages in action; energetic,Hard,TRUE,1,2025-11-03,6
