"route","title","meta_description","h1_count","text_length","broken_internal_links","redirect_covered_links","broken_images","placeholder_images","canonical","missing_from_sitemap","notes"
"/blog/crate-training-101-puppy-guide/","Crate Training 101: Positive Puppy Training Guide | LeashFree.ca","Learn how to crate train your puppy the positive way. Step-by-step tips for Canadian families to make crate time safe, comfortable, and stress-free.","1","3997","","","","0","https://leashfree.ca/blog/crate-training-101-puppy-guide/","no",""
"/blog/dealing-with-separation-anxiety-in-dogs/","Dealing with Dog Separation Anxiety: Proven Strategies | LeashFree.ca","Learn how to spot separation anxiety and use evidence-based training, environment tweaks, and pro tips to help your dog stay calm when you’re away.","1","8037","","","","0","https://leashfree.ca/blog/dealing-with-separation-anxiety-in-dogs/","no",""
"/blog/diy-halloween-dog-costumes/","DIY Dog Halloween Costumes You Can Make at Home | LeashFree.ca","Make your own dog costume this Halloween! Discover fun, safe, and affordable DIY costume ideas for Canadian pups and their families.","1","4772","","","","0","https://leashfree.ca/blog/diy-halloween-dog-costumes/","no",""
"/blog/dog-age-calculator/","Dog Age Calculator: Convert Dog Years to Human Years | LeashFree.ca","Discover your dog’s true age in human years! Try our free, research-based Dog Age Calculator by breed or size. Fun, fast, and accurate for every pup in Canada.","1","5803","","","","0","https://leashfree.ca/blog/dog-age-calculator/","no",""
"/blog/dog-insurance-waiting-periods-canada/","Dog Insurance Waiting Periods Explained (Accident vs Illness) | LeashFree.ca","Learn how dog insurance waiting periods work in Canada. Understand accident vs illness coverage, orthopedic conditions, and why enrolling early matters.","1","7108","","/dog-insurance-canada","","0","https://leashfree.ca/blog/dog-insurance-waiting-periods-canada/","no",""
"/blog/halloween-dog-costume-ideas-2025/","Top 15 Halloween Dog Costume Ideas for 2025 | LeashFree.ca","Discover the best Halloween dog costume ideas for 2025. From classic pumpkins to superhero pups, explore safe, creative, and Canadian-friendly designs.","1","5314","","","","0","https://leashfree.ca/blog/halloween-dog-costume-ideas-2025/","no",""
"/blog/halloween-dog-safety-tips/","Halloween Safety Tips for Dogs: Keep Your Pup Calm and Safe | LeashFree.ca","Keep your dog safe and stress-free this Halloween. Discover safety tips for costumes, candy, and trick-or-treat chaos tailored for Canadian pups.","1","4376","","","","0","https://leashfree.ca/blog/halloween-dog-safety-tips/","no",""
"/blog/help-reactive-dog-stay-calm-on-walks/","How to Help a Reactive Dog Stay Calm on Walks | LeashFree.ca","Walking a reactive dog can be stressful. Learn how to manage leash reactivity, reduce anxiety, and rebuild calm, confident walks through positive training.","1","5822","","","","0","https://leashfree.ca/blog/help-reactive-dog-stay-calm-on-walks/","no",""
"/blog/how-cold-is-too-cold-for-a-dog-walk/","How Cold Is Too Cold for a Dog Walk? | Winter Safety Guide for Canadian Dogs | LeashFree.ca","Learn how cold is too cold for a dog walk with our vet-backed Canadian winter guide. Discover safe temperature limits, breed-specific tips, and cold-weather care advice to protect your pup this season.","1","4896","","","","0","https://leashfree.ca/blog/how-cold-is-too-cold-for-a-dog-walk/","no",""
"/blog/how-to-choose-the-right-dog-park-for-your-pup/","How to Choose the Right Dog Park for Your Pup | LeashFree.ca","Learn how to choose the best dog park for your pup. Discover safety tips, size considerations, and Canadian-specific advice for leash-free adventures.","1","4055","","","","0","https://leashfree.ca/blog/how-to-choose-the-right-dog-park-for-your-pup/","no",""
"/blog/how-to-potty-train-puppy-in-condo-apartment/","How to Potty Train (House Train) Your Puppy in a Condo or Apartment | LeashFree.ca","Learn how to potty train (house train) your puppy in a condo or apartment. Discover proven routines, tools, and Canadian-specific tips for successful urban training.","1","3821","","","","0","https://leashfree.ca/blog/how-to-potty-train-puppy-in-condo-apartment/","no",""
"/blog/how-to-socialize-your-puppy/","How to Socialize Your Puppy: Canadian Step-by-Step Guide | LeashFree.ca","Learn how to socialize your puppy with confidence. This Canadian step-by-step guide covers socialization stages, tips, and mistakes to avoid.","1","5947","","","","0","https://leashfree.ca/blog/how-to-socialize-your-puppy/","no",""
"/blog/","LeashFree.ca Blog","Dog park tips, breed guides, dog care articles, and practical resources for Canadian dog owners.","1","10670","","","","1","https://leashfree.ca/blog/","no",""
"/blog/is-dog-insurance-worth-it-canada/","Is Dog Insurance Worth It in Canada? (Pros, Cons & Real Scenarios) | LeashFree.ca","Wondering if dog insurance is worth it in Canada? Learn about the pros, cons, average vet costs, and real-life examples to decide if it’s right for your pup.","1","6317","","/dog-insurance-canada; /dog-insurance-canada; /dog-insurance-canada","","0","https://leashfree.ca/blog/is-dog-insurance-worth-it-canada/","no",""
"/blog/is-it-ever-too-late-to-socialize-a-dog/","Is It Ever Too Late to Socialize a Dog? | LeashFree.ca","Wondering if it’s too late to socialize your adult dog? Learn how to safely introduce new people, pets, and places — even if your dog missed early puppy socialization.","1","5525","","","","0","https://leashfree.ca/blog/is-it-ever-too-late-to-socialize-a-dog/","no",""
"/blog/keeping-your-dog-active-indoors-during-winter/","How to Keep Your Dog Active Indoors During Winter | LeashFree.ca","Learn how to keep your dog active indoors this winter with fun games, mental enrichment, and training ideas. Stay active and happy with your dog even during Canada’s coldest months.","1","5636","","","","0","https://leashfree.ca/blog/keeping-your-dog-active-indoors-during-winter/","no",""
"/blog/low-shedding-dog-breeds-for-allergy-sufferers/","Low-Shedding Dog Breeds in Canada: Best Picks for Allergy Sufferers | LeashFree.ca","Allergies? Explore the best low-shedding dog breeds in Canada - temperament, size, grooming, and care tips—plus links to detailed breed guides.","1","5362","","/breed-groups/hybrid-designer-mixes","","0","https://leashfree.ca/blog/low-shedding-dog-breeds-for-allergy-sufferers/","no",""
"/blog/most-googled-dog-questions/","15 Most Googled Dog Questions - Answered | LeashFree.ca","Why do dogs bury bones, tilt their heads, or eat grass? Discover the 15 most Googled dog questions - answered with fun, science-backed insights for Canadian dog owners.","1","8721","","","","0","https://leashfree.ca/blog/most-googled-dog-questions/","no",""
"/blog/puppy-training-independence-games/","Puppy Training 101: Independence Games to Prevent Separation Anxiety | LeashFree.ca","Teach your puppy independence from day one. Learn fun games and routines that build confidence and prevent separation anxiety later in life.","1","5170","","","","0","https://leashfree.ca/blog/puppy-training-independence-games/","no",""
"/blog/smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear/","Smartest Dog Breeds in Canada: Easy to Train & Eager to Learn | LeashFree.ca","Discover the smartest dog breeds in Canada! Learn which breeds are easiest to train, most obedient, and best suited for active, intelligent owners.","1","5758","","/breed-groups/herding-dogs; /breed-groups/working-dogs; /breed-groups/sporting-dogs; /breed-groups/hybrid-designer-mixes","","0","https://leashfree.ca/blog/smartest-dog-breeds-in-canada-easy-to-train-and-eager-to-lear/","no",""
"/blog/the-7-7-7-rule-for-puppies/","The 7-7-7 Rule for Puppies | Early Socialization Guide | LeashFree.ca","Discover the 7-7-7 rule for puppies — a proven socialization method that helps young dogs grow into confident, friendly companions. Learn how to apply it safely at home.","1","5747","","","","0","https://leashfree.ca/blog/the-7-7-7-rule-for-puppies/","no",""
"/blog/tips-for-living-with-dogs-if-you-have-allergies/","Tips for Living with Dogs if You Have Allergies | LeashFree.ca","Learn practical tips for allergy-sensitive families living with dogs. From grooming to cleaning routines, discover how to reduce allergens and live comfortably","1","4965","","","","0","https://leashfree.ca/blog/tips-for-living-with-dogs-if-you-have-allergies/","no",""
"/blog/top-10-dog-breeds-for-canadian-families/","Top 10 Dog Breeds for Canadian Families | LeashFree.ca","Discover the best dog breeds for families in Canada. From Labs to Cavaliers, explore top breeds that are friendly, adaptable, and perfect for Canadian homes.","1","7609","","","","0","https://leashfree.ca/blog/top-10-dog-breeds-for-canadian-families/","no",""
"/blog/top-10-dog-breeds-for-condo-living-canada/","Top 10 Dog Breeds for Condo & Apartment Living in Canada | LeashFree.ca","Discover the best dog breeds for condos and apartments in Canada. Learn which small, adaptable, and low-energy dogs make perfect city companions.","1","6977","","","","0","https://leashfree.ca/blog/top-10-dog-breeds-for-condo-living-canada/","no",""
"/blog/top-10-dog-parks-in-vancouver/","Top 10 Dog Parks in Vancouver for Off-Leash Fun (2025 Guide) | LeashFree.ca","Set the stage — Vancouver is one of the most dog-friendly cities in Canada, offering mountains, beaches, and trails where dogs can safely explore. Mention that this list features...","1","3472","/parks/vanier-park","/parks/spanish-banks-beach-park; /parks/hadden-park; /parks/everett-crowley-park; /parks/fraser-river-park; /parks/queen-elizabeth-park; /parks/charleson-park; /parks/crab-park; /parks/sunset-beach-park; /parks/john-hendry-park","","1","https://leashfree.ca/blog/top-10-dog-parks-in-vancouver/","no",""
"/blog/top-10-off-leash-dog-parks-in-toronto/","Top 10 Off-Leash Dog Parks in Toronto | LeashFree.ca","Discover Toronto’s best leash-free dog parks. From High Park to Cherry Beach, explore safe, fun, and dog-friendly spaces across the city.","1","5028","","","","0","https://leashfree.ca/blog/top-10-off-leash-dog-parks-in-toronto/","no",""
"/blog/trending-dog-names-2025/","Trending Dog Names 2025: Top Picks & Pop Culture Ideas | LeashFree.ca","See the hottest dog names for 2025 - Luna, Milo, Daisy + pop culture, foodie, and human-style picks. Trainer tips, searchable list, and naming advice.","1","5307","","/dog-names/","","0","https://leashfree.ca/blog/trending-dog-names-2025/","no",""
"/blog/unlimited-vs-10000-annual-limit/","Unlimited vs $10,000 Annual Limit—Which Should You Choose? (Canada) | LeashFree.ca","Not sure if you need Unlimited pet insurance? See when $10,000 is enough, when Unlimited is smarter, and how to pick the right limit for your dog in Canada.","1","5711","","/dog-insurance-waiting-periods-canada; /per-condition-vs-annual-deductible; /average-vet-costs-in-canada","","0","https://leashfree.ca/blog/unlimited-vs-10000-annual-limit/","no",""
"/blog/winter-dog-care-tips-canada/","Winter Dog Care Tips: Keeping Your Pup Safe in the Canadian Cold | LeashFree.ca","Discover essential winter dog care tips for Canadian families. From paw protection to winter jackets, keep your pup safe and comfortable in the cold.","1","3812","","","","0","https://leashfree.ca/blog/winter-dog-care-tips-canada/","no",""
"/blog/winter-paw-care-for-canadian-dogs/","Winter Paw Care for Canadian Dogs | Salt, Ice & Boot Tips | LeashFree.ca","Protect your dog’s paws from salt, ice, and freezing temperatures this winter. Learn expert paw-care tips, best boots for Canadian winters, and natural protection methods.","1","5262","","","","0","https://leashfree.ca/blog/winter-paw-care-for-canadian-dogs/","no",""
"/directory/alberta-animal-rescue-crew-society-aarcs/","Alberta Animal Rescue Crew Society (AARCS) – Dog Rescue in Calgary | LeashFree.ca","Adopt a dog or support animal rescue efforts at Alberta Animal Rescue Crew Society (AARCS) in Calgary, Alberta, helping animals across the province find safety and care.","1","1457","","","","0","https://leashfree.ca/directory/alberta-animal-rescue-crew-society-aarcs/","no",""
"/directory/aldershot-animal-hospital-burlington/","Aldershot Animal Hospital – Veterinarian in Burlington, Ontario | LeashFree.ca","Aldershot Animal Hospital provides veterinary care in Burlington’s Aldershot community, including exams, vaccines, diagnostics and surgery.","1","1107","","","","1","https://leashfree.ca/directory/aldershot-animal-hospital-burlington/","no",""
"/directory/alderwood-veterinary-clinic/","Alderwood Veterinary Clinic – Veterinarian in South Etobicoke | LeashFree.ca","Alderwood Veterinary Clinic offers preventive and medical veterinary care for pets in south Etobicoke.","1","1105","","","","1","https://leashfree.ca/directory/alderwood-veterinary-clinic/","no",""
"/directory/animal-hospital-of-milton/","Animal Hospital of Milton – Veterinarian in Milton, Ontario | LeashFree.ca","Animal Hospital of Milton provides comprehensive veterinary care, surgery, and dentistry for dogs and cats in a friendly, community-focused setting.","1","1466","","","","1","https://leashfree.ca/directory/animal-hospital-of-milton/","no",""
"/directory/animal-hospital-of-milton-e6f9b/","Animal Hospital of Milton – Veterinarian in Milton | LeashFree.ca","Animal Hospital of Milton in downtown Milton, Ontario offers comprehensive veterinary services, including wellness care, surgery, dentistry, and diagnostics for dogs and cats.","1","1652","","","","1","https://leashfree.ca/directory/animal-hospital-of-milton-e6f9b/","no",""
"/directory/animal-hospital-of-oakville/","Animal Hospital of Oakville – Trusted Veterinarian in Oakville, Ontario | LeashFree.ca","The Animal Hospital of Oakville provides comprehensive veterinary care, surgery, and dentistry in a welcoming environment for dogs and cats.","1","1441","","","","1","https://leashfree.ca/directory/animal-hospital-of-oakville/","no",""
"/directory/applewood-veterinary-hospital-mississauga/","Applewood Veterinary Hospital – Veterinarian in Mississauga | LeashFree.ca","Applewood Veterinary Hospital in Mississauga, Ontario provides wellness care, diagnostics, surgery, and dentistry for dogs and cats in the Applewood area.","1","1612","","","","1","https://leashfree.ca/directory/applewood-veterinary-hospital-mississauga/","no",""
"/directory/aquitaine-animal-hospital-mississauga/","Aquitaine Animal Hospital – Veterinarian in Meadowvale Town Centre | LeashFree.ca","Aquitaine Animal Hospital provides full-service veterinary care for dogs and cats in the Meadowvale Town Centre area of Mississauga.","1","1285","","","","1","https://leashfree.ca/directory/aquitaine-animal-hospital-mississauga/","no",""
"/directory/bc-spca-vancouver-branch/","BC SPCA Vancouver Branch – Adopt a Pet in Vancouver | LeashFree.ca","Adopt a dog or cat from the BC SPCA Vancouver Branch. Providing animal rescue, adoption, and education services across Greater Vancouver.","1","1322","","","","0","https://leashfree.ca/directory/bc-spca-vancouver-branch/","no",""
"/directory/bristol-veterinary-hospital-mississauga/","Bristol Veterinary Hospital – Veterinarian in Mississauga | LeashFree.ca","Bristol Veterinary Hospital in Mississauga, Ontario offers extended-hours veterinary care, including wellness, diagnostics, surgery, and dentistry for dogs and cats.","1","1667","","","","1","https://leashfree.ca/directory/bristol-veterinary-hospital-mississauga/","no",""
"/directory/burlington-veterinary-emergency-and-referral-hospital/","Burlington Veterinary Emergency & Referral Hospital – Emergency Vet in Burlington, Ontario | LeashFree.ca","Emergency and specialty veterinary hospital in Burlington serving pets and primary care veterinarians across Halton.","1","1187","","","","1","https://leashfree.ca/directory/burlington-veterinary-emergency-and-referral-hospital/","no",""
"/directory/burloak-animal-hospital/","Burloak Animal Hospital – Veterinarian in Oakville, Ontario | LeashFree.ca","Burloak Animal Hospital in Oakville provides full-service veterinary care, surgery, and emergency services for dogs and cats.","1","1477","","","","1","https://leashfree.ca/directory/burloak-animal-hospital/","no",""
"/directory/credit-valley-animal-hospital-mississauga/","Credit Valley Animal Hospital – Veterinarian in Mississauga | LeashFree.ca","Credit Valley Animal Hospital in Mississauga, part of VCA Canada, provides wellness care, surgery, dentistry, and diagnostic services for local dogs and cats.","1","1638","","","","1","https://leashfree.ca/directory/credit-valley-animal-hospital-mississauga/","no",""
"/directory/derry-heights-animal-hospital-milton/","Derry Heights Animal Hospital – Veterinarian in Milton | LeashFree.ca","Derry Heights Animal Hospital in Milton, Ontario provides full-service veterinary care, including exams, diagnostics, surgery, and preventive care for dogs and cats.","1","1607","","","","1","https://leashfree.ca/directory/derry-heights-animal-hospital-milton/","no",""
"/directory/dog-tales-rescue-and-sanctuary/","Dog Tales Rescue and Sanctuary – Dog Rescue in King, Ontario | LeashFree.ca","Discover Dog Tales Rescue and Sanctuary in King, Ontario — a peaceful haven offering rehabilitation and adoption for dogs and horses in need.","1","1420","","","","0","https://leashfree.ca/directory/dog-tales-rescue-and-sanctuary/","no",""
"/directory/east-plains-animal-hospital-burlington/","East Plains Animal Hospital – Veterinarian in Burlington, Ontario | LeashFree.ca","Community veterinary clinic in Aldershot providing preventive care, surgery and pet health guidance.","1","1085","","","","1","https://leashfree.ca/directory/east-plains-animal-hospital-burlington/","no",""
"/directory/eatonville-animal-hospital/","Eatonville Animal Hospital – Veterinarian in Etobicoke | LeashFree.ca","Eatonville Animal Hospital offers exams, treatment, and surgical services for pets in Etobicoke.","1","1069","","","","1","https://leashfree.ca/directory/eatonville-animal-hospital/","no",""
"/directory/eglinton-hwy-10-veterinary-clinic-mississauga/","Eglinton-Hwy 10 Veterinary Clinic – Veterinarian in Central Mississauga | LeashFree.ca","Eglinton-Hwy 10 Veterinary Clinic provides wellness, medical, and surgical care for dogs and cats in central Mississauga near Eglinton and Hurontario.","1","1369","","","","1","https://leashfree.ca/directory/eglinton-hwy-10-veterinary-clinic-mississauga/","no",""
"/directory/erin-mills-pet-hospital-mississauga/","Erin Mills Pet Hospital – Veterinarian in Erin Mills Mississauga | LeashFree.ca","Erin Mills Pet Hospital provides full-service veterinary care including wellness exams, surgery, and dentistry for dogs and cats in the Erin Mills community of Mississauga.","1","1412","","","","1","https://leashfree.ca/directory/erin-mills-pet-hospital-mississauga/","no",""
"/directory/erindale-animal-hospital-mississauga/","Erindale Animal Hospital – Veterinarian in Mississauga | LeashFree.ca","Erindale Animal Hospital in Mississauga provides wellness exams, diagnostics, surgery, and dental care for dogs and cats in the Creditview and Erindale areas.","1","1595","","","","1","https://leashfree.ca/directory/erindale-animal-hospital-mississauga/","no",""
"/directory/etobicoke-veterinary-hospital/","Etobicoke Veterinary Hospital – Veterinarian in Etobicoke | LeashFree.ca","Etobicoke Veterinary Hospital provides medical, surgical, and preventive veterinary care for pets in Etobicoke.","1","1116","","","","1","https://leashfree.ca/directory/etobicoke-veterinary-hospital/","no",""
"/directory/glen-erin-animal-hospital-mississauga/","Glen Erin Animal Hospital – Veterinarian in Erin Mills Mississauga | LeashFree.ca","Glen Erin Animal Hospital offers AAHA-level veterinary care including wellness, dentistry, and surgery for pets in Erin Mills and central Mississauga.","1","1318","","","","1","https://leashfree.ca/directory/glen-erin-animal-hospital-mississauga/","no",""
"/directory/halton-peel-animal-hospital-milton/","Halton Peel Animal Hospital – Veterinarian in Milton | LeashFree.ca","Halton Peel Animal Hospital in Milton, Ontario offers veterinary care, preventive services, and health guidance for dogs and cats in rural and suburban areas.","1","1640","","","","1","https://leashfree.ca/directory/halton-peel-animal-hospital-milton/","no",""
"/directory/hamilton-burlington-spca/","Hamilton/Burlington SPCA – Dog Adoption & Rescue in Hamilton | LeashFree.ca","Find adoptable dogs and animal care services at the Hamilton/Burlington SPCA, helping pets across Hamilton and Burlington find safe and loving homes.","1","1449","","","","0","https://leashfree.ca/directory/hamilton-burlington-spca/","no",""
"/directory/hawkins-animal-hospital/","Hawkins Animal Hospital – Veterinarian in Milton, Ontario | LeashFree.ca","Hawkins Animal Hospital offers preventive, surgical, and dental care for dogs and cats in Milton. Trusted local veterinary clinic focused on pet wellness.","1","1461","","","","1","https://leashfree.ca/directory/hawkins-animal-hospital/","no",""
"/directory/hawkins-animal-hospital-milton/","Hawkins Animal Hospital – Veterinarian in Milton | LeashFree.ca","Hawkins Animal Hospital in downtown Milton, Ontario offers full-service veterinary care, including wellness exams, surgery, dentistry, and preventive services for dogs and cats.","1","1689","","","","1","https://leashfree.ca/directory/hawkins-animal-hospital-milton/","no",""
"/directory/heartland-pet-hospital-mississauga/","Heartland Pet Hospital – Veterinarian in Mississauga | LeashFree.ca","Heartland Pet Hospital in Mississauga provides veterinary services for dogs and cats, including wellness care, diagnostics, surgery, dentistry, and behaviour support.","1","1555","","","","1","https://leashfree.ca/directory/heartland-pet-hospital-mississauga/","no",""
"/directory/hollybank-animal-hospital-milton/","Hollybank Animal Hospital – Veterinarian in Milton | LeashFree.ca","Hollybank Animal Hospital in south Milton offers veterinary care, surgery, dentistry, and wellness services for dogs, cats, and small companion animals.","1","1576","","","","1","https://leashfree.ca/directory/hollybank-animal-hospital-milton/","no",""
"/directory/humber-bay-veterinary-hospital/","Humber Bay Veterinary Hospital – Veterinarian in Humber Bay Shores | LeashFree.ca","Humber Bay Veterinary Hospital offers full-service veterinary care for dogs and cats in Humber Bay Shores, Etobicoke.","1","1137","","","","1","https://leashfree.ca/directory/humber-bay-veterinary-hospital/","no",""
"/directory/","Dog Services Directory | LeashFree.ca","Browse converted LeashFree.ca directory listings for dog services and pet resources.","1","14970","","","","1","https://leashfree.ca/directory/","no",""
"/directory/it-takes-a-village-dog-rescue/","It Takes a Village Dog Rescue – Dog Adoption & Rescue in St. Catharines | LeashFree.ca","Discover adoptable dogs through It Takes a Village Dog Rescue, a volunteer-run organization helping dogs across Ontario find safe and loving homes.","1","1520","","","","0","https://leashfree.ca/directory/it-takes-a-village-dog-rescue/","no",""
"/directory/james-snow-animal-hospital/","James Snow Animal Hospital – Veterinarian in Milton, Ontario | LeashFree.ca","James Snow Animal Hospital provides full-service veterinary care seven days a week, including exams, surgery, and dentistry for dogs and cats in Milton.","1","1436","","","","1","https://leashfree.ca/directory/james-snow-animal-hospital/","no",""
"/directory/james-snow-animal-hospital-milton/","James Snow Animal Hospital – Veterinarian in Milton | LeashFree.ca","James Snow Animal Hospital in Milton, Ontario provides full-service veterinary care, including wellness exams, surgery, dentistry, diagnostics, and extended-hours appointments for family pets.","1","1739","","","","1","https://leashfree.ca/directory/james-snow-animal-hospital-milton/","no",""
"/directory/long-branch-animal-clinic/","Long Branch Animal Clinic – Veterinarian in Long Branch Etobicoke | LeashFree.ca","Long Branch Animal Clinic provides veterinary services for pets in the Long Branch area of Etobicoke.","1","1099","","","","1","https://leashfree.ca/directory/long-branch-animal-clinic/","no",""
"/directory/lorne-park-animal-hospital-mississauga/","Lorne Park Animal Hospital – Veterinarian in Lorne Park Mississauga | LeashFree.ca","Lorne Park Animal Hospital provides preventive, medical, and surgical care for pets in the Lorne Park and Clarkson areas of Mississauga.","1","1262","","","","1","https://leashfree.ca/directory/lorne-park-animal-hospital-mississauga/","no",""
"/directory/loved-at-last-dog-rescue/","Loved at Last Dog Rescue – Dog Adoption & Rescue in Vancouver | LeashFree.ca","Find adoptable dogs through Loved at Last Dog Rescue, connecting rescued dogs from around the world with caring homes in British Columbia.","1","1468","","","","0","https://leashfree.ca/directory/loved-at-last-dog-rescue/","no",""
"/directory/mainview-animal-hospital-milton/","Mainview Animal Hospital – Veterinarian in Milton | LeashFree.ca","Mainview Animal Hospital in Milton, Ontario provides wellness care, diagnostics, surgery, and dental services for dogs and cats in the surrounding neighbourhoods.","1","1583","","","","1","https://leashfree.ca/directory/mainview-animal-hospital-milton/","no",""
"/directory/martin-veterinary-hospital/","Martin Veterinary Hospital – Veterinarian in Etobicoke | LeashFree.ca","Martin Veterinary Hospital offers accredited veterinary services including dentistry, surgery, and diagnostics.","1","1099","","","","1","https://leashfree.ca/directory/martin-veterinary-hospital/","no",""
"/directory/mavis-road-animal-clinic-mississauga/","Mavis Road Animal Clinic – Veterinarian in Central Mississauga | LeashFree.ca","Mavis Road Animal Clinic offers wellness exams, diagnostics, and surgery for dogs and cats near Mavis Road and Wolfedale Road in Mississauga.","1","1257","","","","1","https://leashfree.ca/directory/mavis-road-animal-clinic-mississauga/","no",""
"/directory/mccleary-animal-hospital-mississauga/","McCleary Animal Hospital – Veterinarian in Mississauga | LeashFree.ca","McCleary Animal Hospital in south Mississauga offers veterinary services for dogs and cats, including wellness care, diagnostics, surgery, and dental treatments.","1","1605","","","","1","https://leashfree.ca/directory/mccleary-animal-hospital-mississauga/","no",""
"/directory/meadowvale-animal-clinic-mississauga/","Meadowvale Animal Clinic – Veterinarian in Meadowvale Mississauga | LeashFree.ca","Meadowvale Animal Clinic provides AAHA-accredited veterinary care, including wellness, dentistry, and surgery, for pets in the Meadowvale area of Mississauga.","1","1358","","","","1","https://leashfree.ca/directory/meadowvale-animal-clinic-mississauga/","no",""
"/directory/mississauga-animal-hospital/","Mississauga Animal Hospital – Veterinarian in Mississauga | LeashFree.ca","Mississauga Animal Hospital on Dundas Street East provides full-service veterinary care, including exams, diagnostics, surgery, and dentistry for dogs and cats in Mississauga.","1","1629","","","","1","https://leashfree.ca/directory/mississauga-animal-hospital/","no",""
"/directory/montreal-spca/","Montreal SPCA – Dog Adoption & Rescue in Montréal | LeashFree.ca","Adopt a dog or support animal rescue efforts at the Montreal SPCA, providing compassionate care and advocacy for pets across Quebec.","1","1422","","","","0","https://leashfree.ca/directory/montreal-spca/","no",""
"/directory/niagara-dog-rescue/","Niagara Dog Rescue – Dog Adoption & Rescue in Niagara Falls | LeashFree.ca","Find adoptable dogs and foster opportunities at Niagara Dog Rescue, helping dogs across Ontario find safe and loving homes.","1","1456","","","","0","https://leashfree.ca/directory/niagara-dog-rescue/","no",""
"/directory/niagara-spca-and-humane-society/","Niagara SPCA and Humane Society – Dog Adoption & Rescue in Niagara Falls | LeashFree.ca","Adopt a dog or support animal rescue through the Niagara SPCA and Humane Society, serving Niagara Falls and surrounding communities with care and compassion.","1","1495","","","","0","https://leashfree.ca/directory/niagara-spca-and-humane-society/","no",""
